NOMBRE                        	TIPODATO		VALOR	LONGITUD
cont                          	integer	                   -	-                             
promedio                      	real	                   -	-                             
prueba                        	string	                   -	-                             
suma                          	real	                   -	-                             
Prue                          	CTE_STRING	                   -	4                             
_655                          	CTE_INTEGER	                 655	-                             
_9                            	CTE_INTEGER	                   9	-                             
_1                            	CTE_INTEGER	                   1	-                             
_2                            	CTE_INTEGER	                   2	-                             
suma                          	CTE_STRING	                   -	4                             
HOLA                          	CTE_STRING	                   -	4                             
_0                            	CTE_INTEGER	                   0	-                             
mayor                         	CTE_STRING	                   -	5                             
_10                           	CTE_INTEGER	                  10	-                             
mayor                         	CTE_STRING	                   -	5                             
menor                         	CTE_STRING	                   -	5                             
mayor                         	CTE_STRING	                   -	5                             
